,date,hour,city,time
453,2020-05-05,16,영등포구,19.32
454,2020-05-05,16,은평구,25.18
455,2020-05-05,17,구로구,27.51
456,2020-05-05,17,금천구,22.93
457,2020-05-05,17,도봉구,22.22
458,2020-05-05,17,동작구,27.27
459,2020-05-05,17,영등포구,27.01
460,2020-05-05,17,은평구,25.62
461,2020-05-05,18,구로구,29.04
462,2020-05-05,18,금천구,22.69
463,2020-05-05,18,도봉구,27.08
464,2020-05-05,18,동작구,34.52
465,2020-05-05,18,양천구,28.12
466,2020-05-05,18,영등포구,30.93
467,2020-05-05,18,은평구,27.35
468,2020-05-05,19,구로구,28.61
469,2020-05-05,19,금천구,23.8
470,2020-05-05,19,도봉구,36.94
471,2020-05-05,19,동작구,37.86
472,2020-05-05,19,양천구,29.07
473,2020-05-05,19,영등포구,28.59
474,2020-05-05,19,은평구,29.39
475,2020-05-05,20,구로구,26.64
476,2020-05-05,20,금천구,22.54
477,2020-05-05,20,도봉구,25.69
478,2020-05-05,20,동작구,27.03
479,2020-05-05,20,양천구,34.73
480,2020-05-05,20,영등포구,22.14
481,2020-05-05,20,은평구,26.92
482,2020-05-05,21,구로구,27.17
483,2020-05-05,21,금천구,20.67
484,2020-05-05,21,도봉구,27.34
485,2020-05-05,21,동작구,30.62
486,2020-05-05,21,양천구,32.23
487,2020-05-05,21,영등포구,25.81
488,2020-05-05,21,은평구,23.13
489,2020-05-05,22,구로구,23.9
490,2020-05-05,22,금천구,20.41
491,2020-05-05,22,도봉구,24.24
492,2020-05-05,22,동작구,24.5
493,2020-05-05,22,양천구,28.98
494,2020-05-05,22,영등포구,22.87
495,2020-05-05,22,은평구,21.94
496,2020-05-05,23,구로구,22.03
497,2020-05-05,23,금천구,15.87
498,2020-05-05,23,동작구,26.33
499,2020-05-05,23,영등포구,21.6
500,2020-05-05,23,은평구,22.76
501,2020-05-06,0,구로구,19.21
502,2020-05-06,0,금천구,14.96
503,2020-05-06,0,동작구,15.85
504,2020-05-06,0,영등포구,15.67
505,2020-05-06,0,은평구,20.73
506,2020-05-06,1,구로구,27.35
507,2020-05-06,1,금천구,18.27
508,2020-05-06,1,영등포구,18.13
509,2020-05-06,2,영등포구,18.46
510,2020-05-06,3,영등포구,17.25
511,2020-05-06,4,영등포구,14.47
512,2020-05-06,5,영등포구,20.15
513,2020-05-06,8,영등포구,23.07
514,2020-05-06,9,영등포구,21.97
515,2020-05-06,10,영등포구,40.15
516,2020-05-06,11,구로구,28.03
517,2020-05-06,11,금천구,13.77
518,2020-05-06,11,동작구,32.25
519,2020-05-06,11,영등포구,29.29
520,2020-05-06,11,은평구,12.57
521,2020-05-06,12,구로구,27.12
